ts,ms_played,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,skipped
2018-12-05 15:48:57+00:00,194680,Flames,David Guetta,7,False
2018-12-05 15:52:34+00:00,219184,Cuando Nadie Ve,Morat,Cuando Nadie Ve,False
2018-12-05 15:56:21+00:00,213040,Genius,Sia,Mountains,False
2018-12-05 15:59:25+00:00,184559,In My Mind,Dynoro,In My Mind,False
2018-12-05 16:03:04+00:00,189466,Natural,Imagine Dragons,Origins,False
2018-12-05 17:49:38+00:00,141324,I'm a Mess,Bebe Rexha,Expectations,False
2018-12-06 00:14:35+00:00,6019,I'm a Mess,Bebe Rexha,Expectations,False
2018-12-06 00:18:55+00:00,233748,Usted,Juan Magán,Usted,False
2018-12-06 00:20:15+00:00,78975,Lo siento,Beret,Lo siento,False
2018-12-06 00:24:42+00:00,192975,Ya No Quiero Ná,Lola Indigo,Ya No Quiero Ná,False
2018-12-06 00:27:58+00:00,198406,Ni La Hora,Ana Guerra,Ni La Hora,False
2018-12-06 00:30:54+00:00,176133,Vaina Loca,Ozuna,Aura,False
2018-12-06 00:34:00+00:00,187026,Thunderclouds,Sia,Mountains,False
2018-12-06 00:37:50+00:00,231266,Better Now,Post Malone,beerbongs & bentleys,False
2018-12-06 00:40:57+00:00,188560,Sin Pijama,Becky G,Sin Pijama,False
2018-12-06 00:45:02+00:00,204346,Believer,Imagine Dragons,Evolve,False
2018-12-06 09:41:17+00:00,137329,No Me Acuerdo,Thalia,Valiente,False
2018-12-07 12:36:29+00:00,7584,Genius,Sia,Mountains,False
2018-12-07 13:00:32+00:00,194542,Déjala Que Baile (with Alejandro Sanz & Arkano),Melendi,Ahora,False
2018-12-08 00:18:00+00:00,150554,One Kiss (with Dua Lipa),Calvin Harris,One Kiss (with Dua Lipa),False
2018-12-08 00:21:39+00:00,219184,Cuando Nadie Ve,Morat,Cuando Nadie Ve,False
2018-12-08 00:27:33+00:00,354320,Bohemian Rhapsody - Remastered 2011,Queen,A Night At The Opera,False
2018-12-08 00:30:59+00:00,205920,no tears left to cry,Ariana Grande,Sweetener,False
2018-12-08 00:32:04+00:00,18133,Better Now,Post Malone,beerbongs & bentleys,False
2018-12-08 00:32:07+00:00,3624,Girls Like You (feat. Cardi B) - Cardi B Version,Maroon 5,Red Pill Blues,False
2018-12-08 00:32:08+00:00,1581,Don't Leave Me Alone (feat. Anne-Marie),David Guetta,7,False
2018-12-08 00:32:09+00:00,1498,Usted,Juan Magán,Usted,False
2018-12-08 00:32:12+00:00,2687,Ya No Quiero Ná,Lola Indigo,Ya No Quiero Ná,False
2018-12-08 00:36:03+00:00,231921,Clandestino,Shakira,Clandestino,False
